CtrlEmilio_I CtrlEmilio_II CtrlEmilio_III SIPEmilio_I SIPEmilio_II SIPEmilio_III
Sro1000_g229710 1.41825418491425 0.984806406756764 7.08154468446801 1.58017491482835 0.679812954321689 1.73701545187719
Sro1000_g229720 9.01277659445507 5.8051746082504 3.80901267119112 4.50110430284438 4.41878420309098 6.89697311774768
Sro1000_g229730 1.78425526489212 1.39946173591751 1.66309003953415 0.86191358990637 3.25339056711094 1.63483807235501
Sro1000_g229740 0 0 0 0 0 0
Sro1001_g229750 0.625991822895686 0.995026623982253 2.41797776727639 0.405555914154114 0.145674204497505 0.681081459690009
Sro1001_g229760 92.3695225594152 85.2635020586777 123.390551320276 116.645639167329 105.85658860152 85.7268214191157
Sro1001_g229770 0 0 0 0 0 0
Sro1001_g229780 0 0 0 0 0 0
Sro1001_g229790 0 0 0 0 0 0
Sro1001_g229800 0 0 0 0 0 0
Sro1002_g229810 0 0 0 0 0 0
Sro1002_g229820 5.30701565967913 8.96692149310106 8.85193085558501 9.72046993061073 16.7525335172131 6.7947957382255
Sro1002_g229830 8.94397758719637 5.02284548719306 5.3347163447052 4.15916340560004 12.4292655106658 5.60774226614563
Sro1002_g229840 20.1300593987829 12.284164126387 15.1824026189731 17.1903877097993 74.9736572480492 15.4287843078504
Sro1002_g229850 1.83000539988935 1.03663832290186 0.590128723705667 1.58017491482835 2.81636795361843 2.5033457982936
Sro1002_g229860 547.812116456878 466.279917641255 459.495683503549 362.817737262254 383.463064305599 297.898149996939
Sro1002_g229870 2.01300593987829 0.518319161450928 0.590128723705667 0.718261324921975 1.16539363598004 1.17503986450516
Sro1002_g229880 66.2461954759946 43.5906414780231 67.7005456705861 17.4776922397681 11.2654718144737 17.932130106144
Sro1002_g229890 55.0831625366696 27.937402802205 40.9334741988567 206.093116164279 276.683872408928 209.821248848813
Sro1002_g229900 20.7248111537469 13.4762981977241 19.5278959480784 8.85855634070436 7.13803602037774 16.4505581030723
Sro1002_g229910 3.4841515356119 2.77565410323275 4.39914139489679 0.0957681766562633 0.616750882543128 0.501992305634843
Sro1002_g229920 2.1345080504007 0.7256468260313 0.377973531224677 14.653948493191 16.8424347015444 20.8652675790658
Sro1002_g229930 0.260488504386585 0.112496198128974 0.0550356730131195 0.718658523434657 2.29463914071732 1.51206316360446
Sro1003_g229940 0 0 0 0 0 0
Sro1003_g229950 0 0 0 0 0 0
Sro1003_g229960 12.7659775369646 7.59895111898008 13.0356637856432 13.1509061776393 5.34274056881129 11.2111216092744
Sro1003_g229970 22.6463168236308 29.0777049573971 20.3326169349498 33.9498186246454 26.7074624524842 28.4053115071682
Sro1003_g229980 1.50975445490872 0.673814909886207 0.912017118454213 0.86191358990637 0.437022613492515 0.357620828327658
Sro1003_g229990 5.71876687465423 1.65862131664297 2.30686682903124 0.0957681766562633 0.0971161363316699 0.204354759044376
Sro1003_g230000 2.37900701985616 0.673814909886207 1.60944197374273 0.0478840883281317 0.242790340829175 0.204354759044376
Sro1003_g230010 15.0060442790927 24.9829835819348 25.3755351193437 47.5967837981629 83.0342965635778 14.0493896843008
Sro1003_g230020 7.27427146456019 5.13135969836419 7.61802534238225 1.00556585489077 1.74809045397006 1.78810414163829
Sro1003_g230030 46.3906368871951 41.9320201613801 34.8712427644258 71.2994075205881 51.0345296422925 92.5216171573411
Sro1003_g230040 38.6588640726626 46.1822372852777 73.2832578710856 178.655533552259 261.485197073021 83.9898059672385
Sro1003_g230050 2.8365083698285 1.81411706507825 4.56008559227107 14.7482992050646 21.7540145382941 14.4070105126285
Sro1003_g230060 36.2341069178092 39.9105754317215 52.2532160808473 58.6101241136332 103.088778716068 37.4480095948819
Sro1003_g230070 76.9974772003446 79.7693189472979 59.549353028481 89.1601724669812 94.2512103098856 91.5509320518804
Sro1003_g230080 32.2080950380526 20.5772707096019 28.5944190668292 66.0321578044936 62.8826982747563 61.7662259211626
Sro1004_g230090 0.411751214975105 0.518319161450928 1.50214584215988 2.53785668139098 1.79664852213589 3.67838566279876
Sro1004_g230100 13.9995413091536 10.9365343066146 14.6459219610588 20.6753281640196 23.9391276057566 22.1129323150574
Sro1004_g230110 4.11751214975105 3.93922562702706 6.00858336863952 63.3506488581182 31.1257216943002 40.0024440829366
Sro1004_g230120 4.89526444470402 9.01875340924616 6.06223143443095 51.2359745111009 34.719018738572 53.6431242491486
Sro1004_g230130 0.734723789736592 0.779280523245428 0.69980141095501 0.720954182397284 1.12509937408694 1.23094376545362
Sro1004_g230140 0.183000539988935 0.0518319161450928 0.107296131582849 5.50667015773514 0.29134840899501 2.29899103924923
Sro1004_g230150 1.0131556343195 0.319792245240497 1.36176537758799 1.15149529557969 0.153854102428449 2.02025227186387
Sro1004_g230160 25.783561143856 17.7529216614529 17.3228356050018 25.7210726955123 10.411807185627 41.5492482197315
Sro1004_g230170 0 0 0 0 0 0
Sro1005_g230180 0 0 0 0 0 0
Sro1005_g230190 0 0 0.107296131582849 0.143652264984395 0.048558068165835 0.102177379522188
Sro1005_g230200 0 0 0 0 0 0
Sro1005_g230210 0 0 0 0 0 0
Sro1005_g230220 0 0 0 0 0 0
Sro1005_g230230 4.62076363472062 4.04288945931724 6.38411982917949 1.9632476214534 1.89376465846756 1.63483807235501
Sro1005_g230240 180.758783374071 197.272272848223 342.00641942033 622.082411724157 555.504299817152 459.515923323036
Sro1005_g230250 126.133122187374 70.5950697896165 112.23175363566 113.916246132625 228.125804243093 128.43696605939
Sro1005_g230260 0.0915002699944677 0.0518319161450928 0.0536480657914243 0 0 0.051088689761094
Sro1005_g230270 32.4598303521107 21.8384178888159 21.5467068912757 7.58137738005358 5.89030479899616 16.623430172293
Sro1005_g230280 28.0448327533044 16.171557837269 21.1373379218212 18.3874899180026 23.9876856739225 22.4279348051202
Sro1006_g230290 0.261054021805286 0.220175189803339 0.774573027115347 1.81753720258448 0.668399137608969 0.801925267056277
Sro1006_g230300 10.3852806443721 4.30204904004271 1.01931325003706 5.7460905993758 0.728371022487524 2.09463628020485
Sro1006_g230310 1.46400431991148 1.65862131664297 2.36051489482267 6.22493148265712 7.52650056570442 5.67084456348143
Sro1006_g230320 58.6516730664538 29.3886964542676 39.9678090146111 0.430956794953185 0.437022613492515 1.17503986450516
Sro1006_g230330 62.2659337312353 40.169735012447 61.5879795285551 48.362929211413 47.2955583935232 50.015827276111
Sro1006_g230340 10.4521197158475 6.2454518530234 7.53807320074876 9.7196635146792 10.1272486998617 13.5524284395676
Sro1006_g230350 0 0.0518319161450928 0 0.0957681766562633 0 0
Sro1007_g230360 38.9734478569209 19.995047149425 28.639695512898 33.137715739361 10.6158131776927 11.6836867785181
Sro1007_g230370 0 0 0 0.342680850061271 0 0
Sro1007_g230380 12.8335777991862 12.0852907656491 8.94410408025385 4.78574250312279 2.98700435565987 4.43727121207712
Sro1007_g230390 2.92980579662593 3.13528892043099 2.87672178773014 1.24736852992575 8.69486610113041 2.09737621772543
Sro1007_g230400 0 0 0 0 0 0
Sro1007_g230410 67.8531173616202 32.7698434862795 43.2487126476105 62.3431563869336 26.1426444238444 25.9686775754081
Sro1007_g230420 5.90176741464317 7.41196400874828 3.64806847381685 3.63169848117366 7.62361670203609 5.21104635563158
Sro1007_g230430 57.096711759401 56.591019021703 54.8128011903121 26.8461656624696 15.6276427000289 27.3603434978835
Sro1007_g230440 29.4155396464184 12.7771093361125 23.1962381869021 16.134555533186 22.4794136613356 17.163059822207
Sro1007_g230450 113.002833443168 127.921169046089 128.004284978338 126.749181804565 240.119647080054 112.395117474407
Sro1007_g230460 15.2805450890761 10.9365343066146 12.6609435267761 13.9342697034863 3.59329704427179 14.6113652716729
Sro1007_g230470 0.0915002699944677 0 0 0.0478840883281317 0 0
Sro1007_g230480 0.886193611186244 0.392302193340178 0.803573615688283 0.92682770213249 0.274195319973497 1.05704108409431
Sro1007_g230490 1.46289099037633 0.764681286584421 0.769205806373244 0.873867708905223 0.434362359728049 0.75065546788998
