padjScreen t15 t1 t3
Sro1058_g236440 0 0 0 0
Sro1059_g236540 0 0 0 0
Sro105_g053170 0 0 0 0
Sro105_g053200 0 0 0 0
Sro105_g053210 0 0 0 0
Sro105_g053280 0 0 0 0
Sro1060_g236630 0 0 0 0
Sro1060_g236640 0 0 0 0
Sro1060_g236690 0 0 0 0
Sro1060_g236710 0 0 0 0
Sro1060_g236720 0 0 0 0
Sro1060_g236730 0 0 0 0
Sro1061_g236800 0 0 0 0
Sro1061_g236830 0 0 0 0
Sro1062_g236880 0 0 0 0
Sro1062_g236890 0 0 0 0
Sro1062_g236960 0 0 0 0
Sro1062_g236970 0 0 0 0
Sro1062_g236980 0 0 0 0
Sro1063_g237060 0 0 0 0
Sro1063_g237090 0 0 0 0
Sro1063_g237110 0 0 0 0
Sro1063_g237160 0 0 0 0
Sro1063_g237180 0 0 0 0
Sro1064_g237220 0 0 0 0
Sro1067_g237370 0 0 0 0
Sro1067_g237380 0 0 0 0
Sro1067_g237430 0 0 0 0
Sro1067_g237440 0 0 0 0
Sro1068_g237480 0 0 0 0
Sro1068_g237500 0 0 0 0
Sro1069_g237660 0 0 0 0
Sro1069_g237670 0 0 0 0
Sro106_g053420 0 0 0 0
Sro106_g053430 0 0 0 0
Sro106_g053450 0 0 0 0
Sro106_g053580 0 0 0 0
Sro106_g053640 0 0 0 0
Sro1070_g237800 0 0 0 0
Sro1070_g237850 0 0 0 0
Sro1071_g237910 0 0 0 0
Sro1071_g237940 0 0 0 0
Sro1071_g237950 0 0 0 0
Sro1071_g237980 0 0 0 0
Sro1071_g237990 0 0 0 0
Sro1072_g238000 0 0 0 0
Sro1072_g238040 0 0 0 0
Sro1072_g238070 0 0 0 0
Sro1072_g238130 0 0 0 0
Sro1073_g238200 0 0 0 0
Sro1074_g238240 0 0 0 0
Sro1074_g238260 0 0 0 0
Sro1075_g238380 0 0 0 0
Sro1075_g238410 0 0 0 0
Sro1075_g238420 0 0 0 0
Sro1075_g238450 0 0 0 0
Sro1076_g238470 0 0 0 0
Sro1076_g238500 0 0 0 0
Sro1077_g238610 0 0 0 0
Sro1077_g238620 0 0 0 0
Sro1077_g238680 0 0 0 0
Sro1077_g238690 0 0 0 0
