padjScreen t15 t1 t3
Sro1144_g246110 0 0 0 0
Sro1146_g246280 0 0 0 0
Sro1149_g246600 0 0 0 0
Sro114_g056200 0 0 0 0
Sro114_g056320 0 0 0 0
Sro114_g056350 0 0 0 0
Sro114_g056440 0 0 0 0
Sro1151_g246750 0 0 0 0
Sro1152_g246840 0 0 0 0
Sro1152_g246970 0 0 0 0
Sro1154_g247160 0 0 0 0
Sro1157_g247340 0 0 0 0
Sro115_g056700 0 0 0 0
Sro115_g056750 0 0 0 0
Sro115_g056760 0 0 0 0
Sro115_g056820 0 0 0 0
Sro115_g056850 0 0 0 0
Sro1161_g247820 0 0 0 0
Sro1161_g247830 0 0 0 0
Sro1162_g247840 0 0 0 0
Sro1162_g247870 0 0 0 0
Sro1165_g248100 0 0 0 0
Sro1166_g248190 0 0 0 0
Sro1166_g248230 0 0 0 0
Sro1167_g248380 0 0 0 0
Sro1169_g248600 0 0 0 0
Sro1170_g248690 0 0 0 0
Sro1170_g248760 0 0 0 0
Sro1170_g248770 0 0 0 0
Sro1171_g248790 0 0 0 0
Sro1175_g249220 0 0 0 0
Sro1177_g249420 0 0 0 0
Sro1178_g249490 0 0 0 0
Sro1179_g249630 0 0 0 0
Sro1179_g249640 0 0 0 0
Sro117_g057370 0 0 0 0
Sro117_g057500 0 0 0 0
Sro1181_g249820 0 0 0 0
Sro1181_g249850 0 0 0 0
Sro1183_g250060 0 0 0 0
Sro1185_g250230 0 0 0 0
Sro1185_g250240 0 0 0 0
Sro1186_g250270 0 0 0 0
Sro1186_g250280 0 0 0 0
Sro1186_g250320 0 0 0 0
Sro1187_g250480 0 0 0 0
Sro1189_g250690 0 0 0 0
Sro118_g057730 0 0 0 0
Sro118_g057750 0 0 0 0
Sro1190_g250750 0 0 0 0
Sro1197_g251540 0 0 0 0
Sro1197_g251560 0 0 0 0
Sro1199_g251760 0 0 0 0
Sro119_g058070 0 0 0 0
Sro119_g058080 0 0 0 0
Sro11_g008480 0 0 0 0
Sro11_g008640 0 0 0 0
Sro11_g008670 0 0 0 0
