t15 t1 t3
Sro1000_g229710 -0.536717707668592 -1.65124808091554 -0.859565829858848
Sro1000_g229720 -0.0557615670404407 -0.0217100631149683 0.562350947550269
Sro1000_g229730 -2.17587138011407 -0.535133482279443 -0.306142705903878
Sro1000_g229740 -1.25334855342428 0.989590490298219 0.129213008148059
Sro1001_g229760 -0.0900714596904383 -0.400791400489315 -0.437741231608473
Sro1002_g229820 -0.00614220557905408 0.517073196339488 0.55056699745441
Sro1002_g229830 -0.140579434313563 0.299169724945675 -0.955601563372312
Sro1002_g229840 -0.749471609977135 -1.3904779884948 -1.34413919119299
Sro1002_g229850 -1.96684069787405 -2.03960428368423 -2.48776167766651
Sro1002_g229860 -0.340227275921033 -0.795506809187338 -0.772771988397008
Sro1002_g229870 -1.52995772659443 -1.55481815476416 1.75469546589172
Sro1002_g229880 0.960886396257482 -0.371960337779362 -1.23108311034844
Sro1002_g229890 -0.622099946036641 1.06373738773492 0.816012598622641
Sro1002_g229900 -0.160762986070505 -0.34202915661491 1.09782115546432
Sro1002_g229910 -0.553563976574641 1.61182561629604 -1.76810044525269
Sro1002_g229920 0.0651707213603885 0.604795203823391 1.07868248930932
Sro1002_g229930 -1.41354438760255 0.683811374712534 1.96795236103689
Sro1003_g229950 -2.50544386881974 0.402087124410816 0.929441158017013
Sro1003_g229960 0.970137301859779 0.886781008060857 -0.0235514505200821
Sro1003_g229970 -0.923634288628317 -0.972261807855448 -0.904724208696901
Sro1003_g229980 1.11371161372009 -0.0660142408701038 0.521845352736531
Sro1003_g229990 2.32461544291345 -0.983417167147576 -0.736684029691728
Sro1003_g230000 1.36421608533307 -1.32005389794321 1.06807775476242
Sro1003_g230010 -0.552695104849449 0.062332622372455 -0.0811983769837222
Sro1003_g230020 -0.462035513528198 0.588958209680023 -1.5159515169119
Sro1003_g230030 -0.117697696547814 0.47090067857845 1.98358122453442
Sro1003_g230040 -0.0433486501075632 -0.551421329386462 -1.01786620467289
Sro1003_g230050 0.0971858940125502 0.984306422083892 0.806465869977524
Sro1003_g230060 -0.0163723917440152 0.454632610643802 0.805030542300204
Sro1003_g230070 -1.17086758111649 0.162963574948008 0.224552776538926
Sro1003_g230080 1.02864686347572 0.0151369508815205 -0.165036011297995
Sro1004_g230090 1.78995509383449 -1.1997091710671 0.719223822985356
Sro1004_g230100 0.621294465739959 0.0323567972721306 -0.63649460297195
Sro1004_g230110 0.455775254741036 0.22724078965666 -0.375678989163616
Sro1004_g230120 0.782238194974982 0.0379362815652316 0.23891421386188
Sro1004_g230130 -0.724197120744882 -1.98563665144156 -1.4064542770983
Sro1004_g230140 -0.562476801173952 -1.52101222269108 0.347202231516478
Sro1004_g230150 -2.35838790565891 -4.7581697320684 0.575156043249984
Sro1004_g230160 -0.106837376436774 0.27648401831789 1.36763051090504
Sro1005_g230180 -3.56721779427884 0.423676605688655 -1.20851343879025
Sro1005_g230230 0.0221292284690591 0.000292001844176394 0.904306300515269
Sro1005_g230240 -0.0329344268757131 -0.602814900779718 -0.406726214893407
Sro1005_g230250 -0.627975058686506 0.0636532734013227 -0.800025225821816
Sro1005_g230270 -0.107010945343408 -0.337115566386825 -1.56840475015297
Sro1005_g230280 0.0326967591944851 0.316851129443069 -0.315753879090267
Sro1006_g230290 -1.07039425823031 0.221361993903943 0.091344960258989
Sro1006_g230300 -0.0413008674203467 -1.0387982360617 1.19797804631304
Sro1006_g230310 -0.757998212785223 0.491609743210773 -0.454058009669844
Sro1006_g230320 1.53706594431626 -0.793684045469275 -0.309549031378507
Sro1006_g230330 0.689389374297335 0.00763882913110771 -0.302854201709373
Sro1006_g230340 -0.525964417351312 -0.345582451543516 0.927495834563552
Sro1006_g230350 0.362927411985046 -0.402378954995817 -0.96968051445595
Sro1007_g230360 1.3897507378325 -0.599073424693036 -1.69927561893148
Sro1007_g230370 -2.66791035669011 -0.357519461217997 -0.873672741735578
Sro1007_g230380 1.2943205581746 1.68141024035526 -0.843682811465298
Sro1007_g230390 2.12622709172594 3.94978766032492 -0.317100056889098
Sro1007_g230410 0.874593914576583 -0.496791663759083 0.959153365899893
Sro1007_g230420 2.89092751029963 -0.856357653780806 -1.10502159278213
Sro1007_g230430 0.475145922850136 0.329177116704649 -1.17176942985535
Sro1007_g230440 -0.239888955407046 0.421376519401962 0.804668393250829
Sro1007_g230450 -0.344441572578649 0.311833351882898 0.366796189350469
Sro1007_g230460 -0.607995817223907 -0.0338422941031749 1.07307674050721
Sro1007_g230480 3.54651106578777 -3.00626106931379 -2.27599991407387
Sro1007_g230490 -4.0982405308427 1.32712252660812 0.276043204849485
Sro1008_g230500 -0.321916805428991 -0.769257604962209 -2.85727743942176
Sro1008_g230510 0.742088806121255 -0.41030920929555 0.344127639816545
Sro1008_g230520 0.323541838367091 1.64455223243397 1.69140113211762
Sro1008_g230530 0.269246376662708 0.260790774021876 1.37107334926736
Sro1008_g230540 -0.514673344038334 0.571015274182115 0.409693027581113
Sro1008_g230550 -1.17663249519457 0.206562698510727 -0.726138743743565
Sro1008_g230560 -0.711703692953224 -0.377759643627063 0.442734349307347
Sro1008_g230570 0.287962206709091 -1.02810436570996 -1.90837234448513
Sro1008_g230580 -0.3093792830666 -0.10844234040364 -1.11230596502458
Sro1008_g230590 0.195124847929542 0.00606959468896965 0.176508780579125
Sro1008_g230600 -0.750732706729836 -0.540117642941682 -0.0164394654309596
Sro1008_g230610 0.0859977793355831 -2.51842888179993 3.46188120896978
Sro1008_g230620 -0.0435054780990782 -0.852694637551588 -0.559451821063387
