CtrlEmilio_I CtrlEmilio_II CtrlEmilio_III SIPEmilio_I SIPEmilio_II SIPEmilio_III
Sro1000_g229710 1.24313677966163 1.04574437811553 6.59116410112656 1.77813595820201 0.766163293541742 1.6101383169858
Sro1000_g229720 7.89993372881743 6.16438791310209 3.54524735742414 5.06499333548451 4.98006140802132 6.3931962586201
Sro1000_g229730 1.56394627118721 1.48605780047997 1.5479249025373 0.969892340837459 3.66663861909262 1.51542429833958
Sro1001_g229760 80.9642954237685 90.539447473687 114.846041155993 131.258763460003 119.302569994357 79.4650616441817
Sro1002_g229820 4.65173762712092 9.52177775863091 8.23895512640821 10.9382302883336 18.8804525908501 6.29848223997388
Sro1002_g229830 7.83962960474909 5.33364973494985 4.96529958188855 4.68021479023335 14.0080399165948 5.19813493008596
Sro1002_g229840 17.6445220339069 13.0442851375464 14.1310563683244 19.3439639089249 84.4968660877464 14.3018168155798
Sro1002_g229850 1.6040474576279 1.10078355591109 0.54926367509388 1.77813595820201 3.17410507324436 2.32049345683248
Sro1002_g229860 480.171606440913 495.132443448807 427.676670652644 408.270792584746 432.170823507081 276.138721363065
Sro1002_g229870 1.76445220339069 0.550391777955544 0.54926367509388 0.808243617364549 1.3134227889287 1.08921121443157
Sro1002_g229880 58.0665179661301 46.2879485260613 63.0124395358763 19.6672613558707 12.6964202929774 16.6223102724123
Sro1002_g229890 48.2818284745999 29.6661168318038 38.0989258269664 231.912035275801 311.828460471489 194.49523729002
Sro1002_g229900 18.165837457636 14.3101862268441 18.1756343394702 9.9683379474961 8.04471458218829 15.248957002042
Sro1002_g229910 3.05394968398811 2.94740636751958 4.09451103251802 0.107765815648607 0.695091031231535 0.465325190550955
Sro1002_g229920 1.87095197191142 0.770548489137762 0.35179973878415 16.4897648360742 18.9817730894412 19.3412020525829
Sro1003_g229960 11.1897122344782 8.06915994628666 12.1329742318418 14.7984244895708 6.02137938784044 10.3922256189327
Sro1003_g229970 19.8500872881453 30.876978743306 18.9246302600528 38.202981647431 30.0998638885232 26.3304971836502
Sro1003_g229990 5.0126483050872 1.76125368945774 2.14712163900335 0.107765815648607 0.109451899077392 0.189428037292447
Sro1003_g230010 13.1531891525488 26.5288836974572 23.6183380290369 53.5596103773574 93.5813737111699 13.0231775638558
Sro1003_g230020 6.37608864407092 5.44887860175989 7.09049471484827 1.13154106431037 1.97013418339305 1.65749532630891
Sro1003_g230030 40.6626030508674 44.5266948366035 32.4564898919111 80.2316497503875 57.5169729651694 85.7635438841556
Sro1003_g230040 33.8855025423895 49.039907415839 68.2085618343855 201.037129092475 294.699238265877 77.8549233271959
Sro1003_g230050 2.48627355932325 1.9263712228444 4.24431021663453 16.5959356098854 24.5172253933357 13.3546766291175
Sro1003_g230060 31.7601396610325 42.3801669025769 48.6348017764945 65.9526791769472 116.183190870651 34.712687833841
Sro1003_g230070 67.4902967796941 84.7052946273582 55.4256981231098 100.329974368853 106.223068054609 84.8637607070164
Sro1003_g230080 28.2312352542511 21.8505535848351 26.6143217113671 74.3045298897142 70.8701046526111 57.2546242716422
Sro1004_g230090 0.360910677966278 0.550391777955544 1.39812571842079 2.85579411468807 2.02486013293175 3.40970467126405
Sro1004_g230100 12.2709630508535 11.613266514862 13.6317257546027 23.2654904916419 26.9798931225771 20.4977333868327
Sro1004_g230110 3.60910677966278 4.18297751246214 5.59250287368315 71.2870870515532 35.079333654304 37.0805382999966
Sro1004_g230120 4.29082694915464 9.57681693642647 5.64243593505532 57.6547113720045 39.1290539201675 49.7248597892674
Sro1004_g230150 0.888057335519249 0.339580388927945 1.26746627619272 1.29575224334777 0.173396763171578 1.87268661852734
Sro1004_g230160 22.5999637508701 18.8514391206385 16.1232693228402 28.9433554565613 11.7343225579175 38.514358941508
Sro1005_g230230 4.05021983051046 4.29305586805324 5.94203430328834 2.20919922079643 2.13431203200914 1.51542429833958
Sro1005_g230240 158.439787627196 209.47911068988 318.32326624759 700.015608950425 626.064862722681 425.951418341119
Sro1005_g230250 110.558971017003 74.9633601575451 104.459964390582 128.187437714017 257.102510932793 119.055521438303
