padjScreen t15 t1 t3
Sro440_g143330 1.195821439321e-10 1 1 6.29551314583281e-14
Sro1578_g283630 1.2221139897292e-10 1 1 6.92274330233538e-14
Sro23_g015560 1.2221139897292e-10 1 1 1.33856560420748e-13
Sro760_g198420 1.59437228623377e-10 1 0.00210877399311521 4.71121414027585e-11
Sro87_g046190 1.7080454892547e-10 0.540221754982886 0.540221754982886 1.97076658644882e-12
Sro196_g083630 1.91467701217786e-10 1 0.730281913242258 7.17679413372088e-13
Sro375_g129420 1.91467701217786e-10 0.0111998886164749 1 3.88587988581496e-11
Sro1063_g237080 2.20208179215302e-10 0.00571515469954742 1 3.45121541900569e-11
Sro510_g157170 2.20208179215302e-10 0.477332925319747 0.477332925319747 2.91440313154063e-12
Sro576_g169460 2.20208179215302e-10 1 1 3.77076036479679e-13
Sro638_g179640 2.52902667940629e-10 1 1 1.58853555974563e-13
Sro669_g184530 2.53976927101591e-10 1 1 5.48325544035469e-13
Sro86_g045580 3.38975212057364e-10 1 1 3.9534825518587e-13
Sro90_g047400 3.43266602375621e-10 1.42027586645531e-07 0.111962571175352 5.5510290701337e-05
Sro841_g209550 3.54909556705824e-10 0.562212610290377 0.00945921611175298 2.974772728483e-10
Sro1241_g255390 3.64687929089218e-10 0.207925205654444 1 2.81063855755817e-12
Sro477_g150680 4.89866994878031e-10 0.0444049013729942 1 4.38646053360223e-11
Sro57_g033170 5.04120724144196e-10 9.85393693885509e-07 0.254997832472214 1.06507238345423e-05
Sro385_g131650 5.05140324307812e-10 0.00456583165435251 9.08633306747261e-05 1.0299306806239e-05
Sro169_g075240 5.07733219169146e-10 1 1 3.41194083189973e-13
Sro511_g157540 5.07733219169146e-10 0.00701582451089038 0.0853891585383832 4.05875440686921e-09
Sro782_g201750 5.77203172141427e-10 1 0.40522315050514 4.00017901435805e-12
Sro64_g036200 5.8087543703483e-10 1.20394744114576e-06 0.0036270763636471 0.0036270763636471
Sro327_g118450 6.25353009956688e-10 1 1 9.52204919076552e-13
Sro384_g131550 6.50415267413402e-10 1 1 1.50954438004516e-12
Sro40_g024560 6.50415267413402e-10 1 1 6.50908248575612e-13
Sro307_g113400 6.53308741193051e-10 1 1 1.64620723777766e-12
Sro2072_g313450 6.83857965494184e-10 0.200250518415574 1 9.89080656233655e-12
Sro7_g005850 7.4731784766143e-10 1 0.381677368939891 4.3355993742925e-12
Sro308_g113580 7.47556646528487e-10 0.578887857809017 1 3.49515677552289e-12
Sro850_g210740 7.47913867445468e-10 0.0167509944694901 1 8.65922773986033e-11
Sro1102_g241640 7.91118592591503e-10 0.00153511769394667 1 1.15090625430791e-09
Sro498_g154960 7.91118592591503e-10 0.258429250639604 1 9.17245982224834e-12
Sro546_g164040 8.93511488322013e-10 1 1 1.11493715209588e-12
Sro762_g198700 8.93511488322013e-10 1 1 2.67406559162183e-12
Sro1491_g277130 9.12634276405789e-10 2.25358281845682e-05 1 5.01613105917368e-08
Sro185_g080510 9.12634276405789e-10 1 1 7.88683560008489e-13
Sro465_g148560 9.23189994650304e-10 1 1 1.12907914900521e-12
Sro1805_g298740 1.01447499806007e-09 1 1 9.71148386413781e-13
Sro567_g168080 1.07669039591461e-09 1 0.490345031495982 8.56488956543808e-12
Sro36_g022790 1.10036175125529e-09 0.000347153056877581 0.000175111833072902 0.000347153056877581
Sro170_g075420 1.35595450077678e-09 1 1 1.4287848256994e-12
Sro1313_g261990 1.72196492029135e-09 7.70750471200135e-06 0.00131730166723712 0.00437519843228282
Sro1658_g289160 1.87120079979983e-09 0.000569514804349408 1 3.97354811281353e-09
Sro31_g020150 1.90000193333814e-09 0.000414351420134868 0.944774280831011 9.85740741653537e-09
Sro454_g146390 1.99258401061851e-09 1 0.0408552316141913 1.54607942137995e-10
Sro2193_g318450 2.3754189387571e-09 1 1 2.01521584806895e-12
Sro871_g213810 2.3754189387571e-09 0.00946778545748321 0.026810025358545 1.08535584647864e-08
Sro243_g096960 2.40194607513612e-09 1 1 3.85995865872871e-12
Sro161_g072330 2.71531200251465e-09 0.111079010999296 1 8.10313044373522e-11
Sro920_g220230 2.79391954528165e-09 1 0.0648410150368378 8.71271585657273e-11
Sro101_g051550 2.81120511935137e-09 1 1 5.26002562330522e-12
Sro713_g191540 3.0045823084751e-09 1 1 4.80923334345871e-12
Sro1278_g258760 3.02387713401623e-09 0.0690386133663811 1 6.37868895956555e-11
Sro680_g186190 3.05298722235007e-09 0.258909973606464 0.0306661421068821 7.62809748595471e-10
Sro1029_g233290 3.19607069380298e-09 0.000343910998375355 1 3.09386238791117e-08
Sro633_g178890 3.19607069380298e-09 0.050571884250282 4.30444120654566e-05 3.42609722784392e-05
Sro157_g071080 4.19193495590526e-09 1 0.406157273314345 2.52242679079792e-11
Sro508_g156770 4.19193495590526e-09 0.214352631190931 1 5.16567364776870e-11
Sro319_g116240 4.29317997617228e-09 0.0774467352178276 0.0213520254728351 6.01753368165072e-08
Sro1952_g307470 4.4031688778626e-09 0.88210561868761 0.88210561868761 4.90636397085502e-11
Sro396_g134240 4.47236053428239e-09 1 1 5.58834880240184e-12
Sro7_g005860 4.47236053428239e-09 0.0841697433160547 0.0253380826613934 1.67626601788915e-08
Sro2401_g326310 4.66980554971685e-09 1 1 7.68347654866324e-12
Sro255_g100460 4.66980554971685e-09 0.264133966995428 0.136260825370522 4.91031097958132e-10
Sro1729_g294010 5.17207624035271e-09 1 1 3.17972248957038e-11
Sro542_g163330 5.17207624035271e-09 1 1 2.36805941277139e-11
Sro524_g159900 5.36943470470923e-09 1 0.760831128442923 2.51212185789366e-11
Sro1144_g246050 5.48039829044517e-09 0.463886328983465 1 3.79108236817437e-11
Sro728_g193700 5.62032665187141e-09 1 1 7.16518108127962e-12
Sro2012_g310890 5.67380064427385e-09 1 0.75430799326524 2.95636128759335e-11
Sro651_g181600 5.85173850379138e-09 1 1 2.05212318243303e-11
Sro664_g183670 5.85173850379138e-09 1 0.00580837292948597 4.36910116301805e-09
Sro1991_g309770 6.04727188965436e-09 2.1002703820105e-07 1 4.11253308010543e-05
Sro198_g083960 6.24085794413067e-09 0.00034688727761484 0.0110695434026441 8.02944435076015e-06
Sro383_g131330 6.3605413602417e-09 0.00582245665554132 1 1.02945000063077e-08
Sro1772_g296680 6.38172566080168e-09 1 1 9.30359284097259e-12
Sro98_g050480 6.70160301678229e-09 1 1 7.17568856933003e-12
Sro2842_g338270 6.84998930558241e-09 1 1 3.40190508134051e-11
Sro1406_g269920 7.08313144010111e-09 0.023319923746169 1 1.5244819154616e-09
Sro958_g224690 7.13148376717242e-09 0.00117110280435454 0.00339048364894456 6.45854752021853e-05
Sro1882_g303370 7.80688401789173e-09 0.831159268808998 1 3.43603866121373e-11
Sro1088_g239970 7.84259825652295e-09 1 1 1.76334967335016e-11
Sro2053_g312710 7.86625267727377e-09 0.168301074848054 1 1.09988283550413e-10
Sro880_g214970 8.02507233475334e-09 0.659190280030085 0.536907294405336 2.19730685767796e-10
Sro336_g120250 8.19552640755788e-09 1 0.942690334824801 5.72153122889598e-11
Sro109_g054570 1.07729489127637e-08 1 1 4.47345998323449e-11
Sro1496_g277540 1.08744204195842e-08 1 1 1.29511743799194e-10
Sro94_g048930 1.11612856756921e-08 0.76409824546405 1 7.01260415252927e-11
Sro1095_g240650 1.23112900055235e-08 0.593859689335286 0.117712951327009 1.2258109183119e-09
Sro2884_g339330 1.30409949682023e-08 3.7102888993618e-08 1 0.000504878716237395
Sro272_g104960 1.31511501695182e-08 0.0701132781392962 0.110771010228911 4.93152017844051e-08
Sro552_g165070 1.31982194539713e-08 1 1 1.62846323995265e-11
Sro3433_g347970 1.35389437924064e-08 1 1 4.43219145617731e-11
Sro1732_g294180 1.5095455586069e-08 0.0238623811853888 1 4.97701951064865e-09
Sro387_g132150 1.5095455586069e-08 5.39703671579354e-06 0.00980334443188881 0.00980334443188881
Sro7_g006210 1.5095455586069e-08 1 1 2.26736549907947e-11
Sro28_g018760 1.62641474745094e-08 0.216541179014898 1 5.56886319833902e-10
Sro12_g009220 1.80589533090069e-08 1 0.327819468608483 1.81216244696756e-10
Sro1090_g240160 1.82852734442952e-08 1 1 2.37102263836717e-11
Sro2019_g311330 1.99857740710325e-08 0.188011194344653 1 3.56565962727125e-10
Sro452_g145880 2.01629995035953e-08 1 1 3.5383719722004e-11
Sro70_g038960 2.04232859211769e-08 1 1 3.14062696917044e-11
Sro180_g078640 2.06827058189277e-08 1.59576291554547e-05 0.00925248633099771 0.00122389395704452
Sro421_g139460 2.1204496280149e-08 1 1 3.55610980771891e-11
Sro1737_g294440 2.37180665795862e-08 1 0.856915848016118 1.49858613928269e-10
Sro882_g215340 2.48923653369601e-08 0.0155062890408011 1 8.05974882010905e-09
Sro516_g158550 2.60018094097595e-08 1 0.656671511443047 2.89790217708191e-10
Sro178_g077980 2.73025760603012e-08 0.15165263335018 1 9.82002727640962e-10
Sro944_g222890 2.82506436291803e-08 1 1 1.83949846342075e-10
Sro127_g060890 2.86033680779679e-08 0.0522791127281253 1 3.35969338195505e-09
Sro40_g024700 2.86725978420602e-08 0.0823771808212669 0.857930453840868 3.00461889577733e-09
Sro1850_g301560 3.29972663626651e-08 0.0861587090966293 1 2.07033351026192e-09
Sro65_g036830 3.32625821544949e-08 0.462979905897292 0.000500300796098897 4.1598436095443e-06
Sro2721_g335500 3.39450581615861e-08 0.025184561491734 1 3.94478850717794e-09
Sro16_g011470 3.73125606590491e-08 1 1 1.27183502547904e-10
Sro13_g009780 3.75060351658321e-08 1 1 2.32024671039977e-10
Sro232_g093770 3.75060351658321e-08 0.109183081352105 0.109183081352105 1.48615579880531e-08
Sro1383_g268020 3.85894445151752e-08 1 1 2.31021300108381e-10
Sro368_g127900 3.89095967476044e-08 1 0.0359424049339091 2.76774180665396e-09
Sro153_g069680 4.23328011618944e-08 1 1 2.69102740626074e-10
Sro504_g156050 4.44441386934127e-08 1 1 2.33938855030808e-10
Sro1357_g265730 4.46701299206922e-08 0.000407732780470557 0.036959323338724 2.23228607677711e-05
Sro1008_g230500 4.58942625970464e-08 1 0.467011238535171 5.00868077203049e-10
Sro2791_g337180 4.58942625970464e-08 0.0230808990896122 1 5.96306948505527e-09
Sro361_g126500 4.58942625970464e-08 1 1 2.54008554156855e-10
Sro1532_g280270 4.6346910039584e-08 1 1 1.37534730318836e-10
Sro1830_g300300 4.87974144077787e-08 0.00457027711706566 0.0642603095817619 3.07379236139934e-07
Sro37_g023280 4.8806659041176e-08 1 0.725492707290994 4.72572678834719e-10
Sro116_g057210 4.89256093382834e-08 0.000115314742063849 0.0062313312406138 0.00124740491430799
Sro2001_g310280 4.93360368785512e-08 1 1 1.00542119089737e-10
Sro270_g104260 4.93360368785512e-08 1 1 1.7561369867532e-10
Sro1328_g263220 5.00796587275552e-08 1 1 1.37000188378423e-10
Sro403_g135560 5.19130841839334e-08 0.0701393396604192 2.20271104507178e-10 0.93765148769181
Sro720_g192680 5.43103605997439e-08 0.04628177149088 1 3.1214674183621e-09
Sro56_g032680 5.43873256126238e-08 1 1 9.11032777612508e-11
Sro117_g057240 5.47711551209188e-08 1 1 1.30519201970126e-10
Sro608_g174870 5.87502430638104e-08 1 1 1.08104606849085e-10
Sro462_g148010 5.93141404598607e-08 1 1 5.48569274388991e-10
Sro263_g102410 6.15851376276335e-08 1 1 1.65856244520994e-10
Sro289_g109150 6.15851376276335e-08 1 1 2.09103928131661e-10
Sro12_g009390 6.24806411062413e-08 1 1 2.94143166045315e-10
Sro18_g012780 6.61187061745526e-08 0.274153409026055 1 1.2551595952541e-09
Sro48_g028160 6.61187061745526e-08 0.032316510223838 1 6.09748621452345e-09
Sro213_g088490 6.8419541483083e-08 1 1 1.29868981104457e-10
Sro379_g130490 7.16318241087016e-08 1 0.032574416636959 1.09192478864142e-08
Sro453_g146200 7.27222383558341e-08 1 1 2.05695742696471e-10
Sro25_g016760 7.29997687008664e-08 0.683825516502421 1 9.63932642871244e-10
Sro33_g021610 7.6544718572206e-08 1.26011895458916e-06 1 0.000207772375538507
