padjScreen t15 t1 t3 t6 t9
Sro100_g051380 0.996451219013908 NA NA NA NA NA
Sro100_g051390 0.00105972022119931 1 1 1 0.00122430100291437 0.135168826122727
Sro100_g051400 0.756478602321269 NA NA NA NA NA
Sro100_g051420 0.350209872698116 NA NA NA NA NA
Sro100_g051430 0.0369314068186462 1 1 0.966318816109766 0.115597868341222 1
Sro1010_g230780 0.797857777532079 NA NA NA NA NA
Sro1010_g230790 0.262181030927251 NA NA NA NA NA
Sro1010_g230800 0.151576021927915 NA NA NA NA NA
Sro1010_g230810 0.623184962221334 NA NA NA NA NA
Sro1010_g230820 0.32815631521655 NA NA NA NA NA
Sro1010_g230830 0.16245027376051 NA NA NA NA NA
Sro1010_g230840 0.0506986583990483 NA NA NA NA NA
Sro1010_g230850 0.508376623624116 NA NA NA NA NA
Sro1010_g230860 0.387687419241608 NA NA NA NA NA
Sro1010_g230870 2.18267903143703e-44 1 1 3.84836574647566e-18 3.90672731058954e-20 1.00793475769886e-13
Sro1010_g230880 0.970121453307926 NA NA NA NA NA
Sro1010_g230890 0.348315972617385 NA NA NA NA NA
Sro1010_g230900 0.131944081720286 NA NA NA NA NA
Sro1010_g230910 0.584986665534916 NA NA NA NA NA
Sro1010_g230920 0.197110473814593 NA NA NA NA NA
Sro1010_g230930 0.127470700559389 NA NA NA NA NA
Sro1010_g230940 0.051217589604528 NA NA NA NA NA
Sro1010_g230950 0.480541415220962 NA NA NA NA NA
Sro1011_g230960 0.149128613863823 NA NA NA NA NA
Sro1011_g230970 0.197886253393445 NA NA NA NA NA
Sro1011_g230980 0.499568340473574 NA NA NA NA NA
Sro1011_g230990 0.560625408029072 NA NA NA NA NA
Sro1011_g231000 0.0878057056545077 NA NA NA NA NA
Sro1011_g231020 0.100985206744933 NA NA NA NA NA
Sro1011_g231040 0.226008211115279 NA NA NA NA NA
Sro1011_g231080 0.116044827214946 NA NA NA NA NA
Sro1011_g231090 0.0775184198749195 NA NA NA NA NA
Sro1011_g231100 0.351739500632426 NA NA NA NA NA
Sro1012_g231130 0.480772638004969 NA NA NA NA NA
Sro1012_g231140 0.0683565090549725 NA NA NA NA NA
Sro1012_g231150 0.303304000093756 NA NA NA NA NA
Sro1012_g231160 0.0973541161614391 NA NA NA NA NA
Sro1012_g231170 0.837269351680329 NA NA NA NA NA
Sro1012_g231180 0.11730990784704 NA NA NA NA NA
Sro1012_g231190 0.60550656397311 NA NA NA NA NA
Sro1012_g231200 0.248598246301942 NA NA NA NA NA
Sro1012_g231210 0.0345835169719978 1 1 1 1 0.389335081494183
Sro1012_g231220 0.795204009436129 NA NA NA NA NA
Sro1012_g231230 0.740735556093113 NA NA NA NA NA
Sro1012_g231240 0.311004998449004 NA NA NA NA NA
Sro1012_g231250 0.056959873120782 NA NA NA NA NA
Sro1012_g231260 0.230096569636667 NA NA NA NA NA
Sro1012_g231270 0.858035794946122 NA NA NA NA NA
Sro1012_g231280 0.723533851241981 NA NA NA NA NA
Sro1013_g231290 0.969138109896198 NA NA NA NA NA
Sro1013_g231310 0.702231620902344 NA NA NA NA NA
Sro1013_g231330 0.158671314082497 NA NA NA NA NA
Sro1013_g231340 0.0819830728400712 NA NA NA NA NA
Sro1013_g231360 0.461681906708705 NA NA NA NA NA
Sro1014_g231370 0.907286075468603 NA NA NA NA NA
Sro1014_g231380 0.0712628640651976 NA NA NA NA NA
Sro1014_g231390 0.482171241895508 NA NA NA NA NA
Sro1014_g231400 2.57032731466711e-05 1 1 0.000324696816829129 0.0274657928870879 0.271972224993536
Sro1014_g231410 0.0511633124085998 NA NA NA NA NA
Sro1014_g231420 0.148374881292676 NA NA NA NA NA
Sro1014_g231430 0.104761979977505 NA NA NA NA NA
Sro1014_g231440 0.0120042501416641 1 1 0.0159857337237141 0.481110842864896 1
Sro1014_g231450 0.56195737148095 NA NA NA NA NA
Sro1014_g231460 0.124040952874412 NA NA NA NA NA
Sro1015_g231500 0.559497383920558 NA NA NA NA NA
Sro1015_g231520 0.441342748427935 NA NA NA NA NA
Sro1015_g231530 0.340781381520173 NA NA NA NA NA
Sro1015_g231540 0.0486491862253416 0.0840315061475946 0.500813580036572 1 1 1
Sro1015_g231550 0.46357982542147 NA NA NA NA NA
Sro1015_g231560 0.370001829229239 NA NA NA NA NA
Sro1015_g231570 0.119626336896856 NA NA NA NA NA
Sro1015_g231580 0.0417834768467645 1 0.0347316096148707 0.569822097250829 1 1
Sro1016_g231610 0.000333658787933787 1 1 1 0.000897649629065163 0.135281706971907
Sro1016_g231620 0.403578501491128 NA NA NA NA NA
Sro1016_g231630 0.268130884043561 NA NA NA NA NA
Sro1016_g231640 0.258247789373665 NA NA NA NA NA
Sro1016_g231650 0.606517745100606 NA NA NA NA NA
Sro1017_g231690 0.305238771190157 NA NA NA NA NA
Sro1017_g231710 0.962076213610384 NA NA NA NA NA
Sro1017_g231720 0.498865269380674 NA NA NA NA NA
Sro1017_g231730 0.487958371553496 NA NA NA NA NA
Sro1017_g231740 0.537662994729027 NA NA NA NA NA
Sro1017_g231750 0.15831835833165 NA NA NA NA NA
Sro1017_g231780 0.882358410011261 NA NA NA NA NA
Sro1017_g231790 0.00355422579490556 1 1 0.0453844564141577 0.0834383328277235 1
Sro1017_g231800 0.510407285525786 NA NA NA NA NA
Sro1017_g231810 0.0055618111452259 1 1 0.971451572802928 0.0066162955590185 1
Sro1018_g231830 0.435874990289126 NA NA NA NA NA
Sro1018_g231840 0.601032394575077 NA NA NA NA NA
Sro1018_g231850 0.520990886201965 NA NA NA NA NA
Sro1018_g231860 0.276837769231449 NA NA NA NA NA
Sro1018_g231870 0.324124759517383 NA NA NA NA NA
Sro1018_g231880 0.794313305346123 NA NA NA NA NA
Sro1018_g231890 0.448465172553181 NA NA NA NA NA
Sro1018_g231900 0.657538303748233 NA NA NA NA NA
Sro1018_g231910 0.675349847603123 NA NA NA NA NA
Sro1018_g231920 0.533990910905794 NA NA NA NA NA
Sro1019_g231940 0.000109301074574101 8.86639300227802e-05 0.0672209302832372 1 1 1
Sro1019_g231950 0.383937188723942 NA NA NA NA NA
Sro1019_g231960 0.0954779460704142 NA NA NA NA NA
Sro1019_g231970 0.332373991519082 NA NA NA NA NA
Sro1019_g231980 0.368983886685475 NA NA NA NA NA
Sro1019_g231990 0.641192154704627 NA NA NA NA NA
Sro1019_g232000 0.589925371333998 NA NA NA NA NA
Sro1019_g232010 0.292332457479931 NA NA NA NA NA
Sro1019_g232020 0.666581196239682 NA NA NA NA NA
Sro1019_g232030 0.538394763383462 NA NA NA NA NA
Sro1019_g232040 0.492481117501914 NA NA NA NA NA
Sro1019_g232050 0.328065695379603 NA NA NA NA NA
Sro101_g051440 0.177069025514828 NA NA NA NA NA
Sro101_g051450 0.328559920789067 NA NA NA NA NA
Sro101_g051460 0.224007215851155 NA NA NA NA NA
Sro101_g051470 0.193080814568706 NA NA NA NA NA
Sro101_g051480 0.577202196889447 NA NA NA NA NA
Sro101_g051490 0.688048791860458 NA NA NA NA NA
Sro101_g051500 0.581683783467083 NA NA NA NA NA
Sro101_g051510 0.477851859253699 NA NA NA NA NA
Sro101_g051520 0.855558701243908 NA NA NA NA NA
Sro101_g051530 0.542999576407418 NA NA NA NA NA
Sro101_g051540 0.000891391897013823 1 0.269763791997656 0.537669354034153 0.0362014167422964 0.326133723799614
Sro101_g051550 0.370314878923678 NA NA NA NA NA
Sro101_g051560 0.0117454994629823 0.00205507327021633 1 1 1 1
Sro101_g051570 0.58928699612272 NA NA NA NA NA
Sro101_g051580 0.60891581584282 NA NA NA NA NA
Sro101_g051590 0.273234234580447 NA NA NA NA NA
Sro101_g051600 0.0613560795836714 NA NA NA NA NA
Sro101_g051610 0.746392933753691 NA NA NA NA NA
Sro101_g051620 0.154004171180955 NA NA NA NA NA
Sro101_g051630 0.619009800332313 NA NA NA NA NA
Sro101_g051640 0.678035106963638 NA NA NA NA NA
Sro101_g051650 0.538672028705723 NA NA NA NA NA
Sro101_g051660 0.928117122473832 NA NA NA NA NA
Sro101_g051670 0.274883503021876 NA NA NA NA NA
Sro101_g051680 0.308474156064356 NA NA NA NA NA
Sro101_g051690 0.319376841342686 NA NA NA NA NA
Sro101_g051700 0.777845169849715 NA NA NA NA NA
Sro101_g051710 0.663979562468475 NA NA NA NA NA
Sro101_g051760 0.0792097711414001 NA NA NA NA NA
Sro101_g051770 0.462080407014175 NA NA NA NA NA
Sro101_g051780 0.0267211263419145 1 1 1 0.00653486318229701 1
Sro101_g051790 0.0588352288310415 NA NA NA NA NA
Sro101_g051800 0.0355306311941506 1 1 0.582813648555547 0.127940888313426 1
Sro101_g051810 0.1257203211672 NA NA NA NA NA
Sro101_g051820 0.766140701724664 NA NA NA NA NA
Sro1020_g232060 0.53896817225477 NA NA NA NA NA
Sro1020_g232070 0.251808127106461 NA NA NA NA NA
Sro1020_g232080 0.637745545776071 NA NA NA NA NA
Sro1020_g232100 0.829180814705125 NA NA NA NA NA
Sro1020_g232110 2.85509270505308e-12 1 1 0.0229386303361597 1.50252162203215e-08 3.56699080668475e-06
Sro1020_g232120 0.350956562186157 NA NA NA NA NA
Sro1020_g232130 0.189242740101343 NA NA NA NA NA
Sro1020_g232160 0.279930542751485 NA NA NA NA NA
Sro1020_g232170 0.219714735010366 NA NA NA NA NA
Sro1021_g232200 0.519643716019248 NA NA NA NA NA
Sro1021_g232210 0.25602788037624 NA NA NA NA NA
Sro1021_g232220 0.161628802655288 NA NA NA NA NA
Sro1021_g232230 0.0918204965878528 NA NA NA NA NA
Sro1021_g232240 0.744712947849429 NA NA NA NA NA
Sro1021_g232260 0.0210259385885775 1 1 0.0512966328491746 0.238631866842131 1
Sro1021_g232270 0.564589715889504 NA NA NA NA NA
Sro1021_g232280 0.722158822351045 NA NA NA NA NA
Sro1021_g232290 0.341009936157575 NA NA NA NA NA
Sro1022_g232330 0.040275205311978 0.0908646977411942 0.731677462334976 1 1 1
Sro1022_g232340 0.0408617797928505 1 1 1 0.146621105488828 1
Sro1022_g232350 0.725635417954544 NA NA NA NA NA
Sro1022_g232370 0.752162719991141 NA NA NA NA NA
Sro1022_g232380 0.874498574577453 NA NA NA NA NA
Sro1022_g232390 0.0277617352054702 1 0.838583223086567 0.700337445616949 0.422437951821477 1
Sro1022_g232400 0.566036519253361 NA NA NA NA NA
Sro1022_g232410 0.780637712406582 NA NA NA NA NA
Sro1022_g232420 0.571160832909234 NA NA NA NA NA
Sro1022_g232430 0.734440703215377 NA NA NA NA NA
Sro1022_g232440 0.000350194570390645 0.997291075345404 1 0.0162704007913302 0.00524735559923655 1
Sro1022_g232450 0.22416994010756 NA NA NA NA NA
Sro1023_g232460 0.37829348507284 NA NA NA NA NA
Sro1023_g232470 0.834176920279951 NA NA NA NA NA
Sro1023_g232480 0.00988870536182984 1 0.0150196122360107 0.170250773933987 1 1
Sro1023_g232490 0.676528016862755 NA NA NA NA NA
Sro1023_g232500 0.173400133822033 NA NA NA NA NA
Sro1023_g232510 0.198188771647847 NA NA NA NA NA
Sro1023_g232520 0.452975528943797 NA NA NA NA NA
Sro1023_g232530 0.12402125172639 NA NA NA NA NA
Sro1023_g232550 0.390425558368071 NA NA NA NA NA
